DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-05-12 08:32;2025-05-12 10:32;T+00:00;48,2966651916504;-4,64638900756836;215;-121;HDG;47;140;9,11;93;4,45;0,00;6985,24;Code 0;;210;0,5;;;0,50;32,67;1,84;69,17
2025-05-12 08:42;2025-05-12 10:42;T+00:10;48,2792334820209;-4,66473241539067;215;-121;HDG;47;140;9,32;94;4,51;1,27;6983,96;Code 0;;;;;;;;1,84;71,01
2025-05-12 08:52;2025-05-12 10:52;T+00:20;48,2574975948986;-4,68759621659836;217;-122;HDG;47;140;9,61;95;4,70;2,86;6982,38;Code 0;;;;;;;;1,83;72,83
2025-05-12 09:02;2025-05-12 11:02;T+00:30;48,2357482125246;-4,71220670745289;216;-120;HDG;47;140;10,06;95;4,75;4,50;6980,75;Code 0;;;;;;;;1,82;74,65
2025-05-12 09:12;2025-05-12 11:12;T+00:40;48,2138584998416;-4,73607795366397;217;-120;HDG;47;140;9,43;96;4,52;6,12;6979,13;Code 0;;;;;;;;1,83;76,49
2025-05-12 09:22;2025-05-12 11:22;T+00:50;48,1933274116449;-4,75929040362347;218;-120;HDG;47;140;9,01;97;4,28;7,66;6977,59;Code 0;;;;;;;;1,85;78,33
2025-05-12 09:32;2025-05-12 11:32;T+01:00;48,1741531872295;-4,78175789132339;216;-117;HDG;47;140;8,71;98;4,05;9,11;6976,14;Code 0;;;;;;;;1,86;80,19
2025-05-12 09:42;2025-05-12 11:42;T+01:10;48,1551792283233;-4,80242525297419;219;-119;HDG;47;140;8,21;100;3,87;10,52;6974,73;Code 0;;;;;;;;1,87;82,06
2025-05-12 09:52;2025-05-12 11:52;T+01:20;48,137769927412;-4,82355346286656;217;-115;HDG;47;140;7,93;101;3,74;11,86;6973,40;Code 0;;;;;;;;1,87;83,93
2025-05-12 10:02;2025-05-12 12:02;T+01:30;48,1201768648927;-4,84341534689966;215;-112;HDG;47;140;7,81;102;3,64;13,18;6972,08;Code 0;;;;;;;;1,88;85,81
2025-05-12 10:12;2025-05-12 12:12;T+01:40;48,1023710118344;-4,86208795180065;215;-111;HDG;47;140;7,84;104;3,58;14,48;6970,78;Code 0;;;;;;;;1,88;87,69
2025-05-12 10:22;2025-05-12 12:22;T+01:50;48,0844560107465;-4,88086848901914;219;-113;HDG;47;140;7,78;105;3,56;15,79;6969,47;Code 0;;;;;;;;1,88;89,57
2025-05-12 10:32;2025-05-12 12:32;T+02:00;48,0676418079873;-4,90124655087497;219;-112;HDG;47;140;7,81;107;3,59;17,08;6968,18;Code 0;;;;;;;;1,88;91,45
2025-05-12 10:42;2025-05-12 12:42;T+02:10;48,0507347082222;-4,92173048561533;219;-110;HDG;47;140;8,10;108;3,66;18,39;6966,88;Code 0;;;;;;;;1,88;93,33
2025-05-12 10:52;2025-05-12 12:52;T+02:20;48,0332115386234;-4,94295370997817;220;-110;HDG;47;140;8,32;109;3,77;19,74;6965,53;Code 0;;;;;;;;1,87;95,20
2025-05-12 11:02;2025-05-12 13:02;T+02:30;48,01532964768;-4,96538770973093;218;-107;HDG;47;140;8,59;110;3,92;21,13;6964,14;Code 0;;;;;;;;1,86;97,07
2025-05-12 11:12;2025-05-12 13:12;T+02:40;47,9959935600217;-4,98796652621762;217;-105;HDG;47;140;9,06;111;4,11;22,60;6962,68;Code 0;;;;;;;;1,86;98,92
2025-05-12 11:22;2025-05-12 13:22;T+02:50;47,9754951374355;-5,01104406825392;221;-109;HDG;47;140;9,43;111;4,26;24,14;6961,14;Code 0;;;;;;;;1,85;100,00
2025-05-12 11:32;2025-05-12 13:32;T+03:00;47,9555469357915;-5,03694111855856;220;-108;HDG;47;140;9,67;111;4,41;25,72;6959,57;Code 0;;;;;;;;1,84;100,00
