Date,Heure,HDG,Voile
2025-05-12,20:34,211,Genois leger
2025-05-12,20:44,212,Genois leger
2025-05-12,20:54,213,Genois leger
2025-05-12,21:04,214,Genois leger
2025-05-12,21:14,215,Genois leger
2025-05-12,21:24,216,Genois leger
2025-05-12,21:34,217,Genois leger
2025-05-12,21:44,218,Genois leger
2025-05-12,21:54,218,Genois leger
2025-05-12,22:04,221,Genois leger
2025-05-12,22:14,222,Genois leger
2025-05-12,22:24,224,Genois leger
2025-05-12,22:34,225,Genois leger
2025-05-12,22:44,227,Genois leger
2025-05-12,22:54,229,Genois leger
2025-05-12,23:04,230,Genois leger
2025-05-12,23:14,231,Genois leger
2025-05-12,23:24,234,Genois leger
2025-05-12,23:34,235,Genois leger
2025-05-12,23:44,237,Genois leger
2025-05-12,23:54,239,Genois leger
2025-05-13,00:04,241,Genois leger
2025-05-13,00:14,241,Genois leger
2025-05-13,00:24,240,Genois leger
2025-05-13,00:34,244,Genois leger
2025-05-13,00:44,246,Genois leger
2025-05-13,00:54,245,Genois leger
2025-05-13,01:04,248,Genois leger
2025-05-13,01:14,250,Genois leger
2025-05-13,01:24,250,Genois leger
2025-05-13,01:34,250,Genois leger
2025-05-13,01:44,250,Genois leger
2025-05-13,01:54,249,Genois leger
2025-05-13,02:04,249,Genois leger
2025-05-13,02:14,246,Genois leger
2025-05-13,02:24,247,Genois leger
2025-05-13,02:34,249,Genois leger
2025-05-13,02:44,247,Genois leger
2025-05-13,02:54,248,Genois leger
2025-05-13,03:04,247,Genois leger
2025-05-13,03:14,250,Genois leger
2025-05-13,03:24,249,Genois leger
2025-05-13,03:34,247,Genois leger
2025-05-13,03:44,252,Genois leger
2025-05-13,03:54,253,Genois leger
2025-05-13,04:04,253,Genois leger
2025-05-13,04:14,254,Genois leger
2025-05-13,04:24,254,Genois leger
2025-05-13,04:34,255,Genois leger
2025-05-13,04:44,255,Genois leger
2025-05-13,04:54,256,Genois leger
2025-05-13,05:04,259,Genois leger
2025-05-13,05:14,263,Genois leger
2025-05-13,05:24,265,Genois leger
2025-05-13,05:34,266,Genois leger
2025-05-13,05:44,268,Genois leger
2025-05-13,05:54,270,Genois leger
2025-05-13,06:04,272,Genois leger
2025-05-13,06:14,274,Genois leger
2025-05-13,06:24,277,Genois leger
2025-05-13,06:34,279,Genois leger
2025-05-13,06:44,260,Code 0
2025-05-13,06:54,275,Code 0
2025-05-13,07:04,274,Code 0
2025-05-13,07:14,275,Code 0
2025-05-13,07:24,275,Code 0
2025-05-13,07:34,276,Code 0
2025-05-13,07:44,276,Code 0
2025-05-13,07:54,277,Code 0
2025-05-13,08:04,278,Code 0
2025-05-13,08:14,277,Code 0
2025-05-13,08:24,275,Code 0
2025-05-13,08:34,279,Code 0
2025-05-13,09:34,276,Code 0
2025-05-13,10:34,282,Spi leger
2025-05-13,11:34,307,Spi leger
2025-05-13,12:34,223,Spi leger
2025-05-13,13:34,245,Spi leger
2025-05-13,14:34,260,Spi leger
2025-05-13,15:34,268,Spi leger
2025-05-13,16:34,268,Spi leger
2025-05-13,17:34,264,Code 0
2025-05-13,18:34,276,Code 0
2025-05-13,19:34,286,Genois leger
2025-05-13,20:34,270,Genois leger
2025-05-13,21:34,283,Genois leger
2025-05-13,22:34,289,Code 0
2025-05-13,23:34,295,Code 0
2025-05-14,00:34,305,Code 0
2025-05-14,01:34,308,Code 0
2025-05-14,02:34,306,Code 0
2025-05-14,03:34,309,Code 0
2025-05-14,04:34,316,Spi leger
2025-05-14,05:34,327,Spi leger
2025-05-14,06:34,338,Spi leger
2025-05-14,07:34,348,Spi leger
2025-05-14,08:34,12,Spi leger
2025-05-14,09:34,38,Spi leger
2025-05-14,10:34,326,Spi leger
2025-05-14,11:34,332,Spi leger
2025-05-14,12:34,62,Spi leger
2025-05-14,12:44,339,Spi leger
2025-05-14,12:54,338,Spi leger
2025-05-14,13:04,338,Spi leger
2025-05-14,13:14,337,Spi leger
2025-05-14,13:24,337,Spi leger
2025-05-14,13:34,336,Spi leger
2025-05-14,13:44,335,Spi leger
2025-05-14,13:54,333,Spi leger
2025-05-14,14:04,327,Spi leger
2025-05-14,14:14,327,Spi leger
2025-05-14,14:21,,
