DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-05-12 08:26;2025-05-12 10:26;T+00:00;58,7597236633301;-26,7441673278809;189;50;HDG;45;140;10,85;238;11,90;0,00;5800,37;Jib;;;;;;;;1,25;72,25
2025-05-12 08:36;2025-05-12 10:36;T+00:10;58,7303115359872;-26,7531452948198;188;49;HDG;45;140;10,70;236;11,78;1,78;5798,66;Jib;;;;;;;;1,26;73,51
2025-05-12 08:46;2025-05-12 10:46;T+00:20;58,7011479055036;-26,7610378488051;186;49;HDG;45;140;10,63;235;11,68;3,55;5796,98;Jib;;;;;;;;1,27;74,78
2025-05-12 08:56;2025-05-12 10:56;T+00:30;58,6719438595704;-26,766943558582;185;49;HDG;45;140;10,56;233;11,59;5,31;5795,33;Jib;;;;;;;;1,28;76,05
2025-05-12 09:06;2025-05-12 11:06;T+00:40;58,6429683254382;-26,771816927746;185;47;HDG;45;140;10,31;232;11,52;7,05;5793,69;Jib;;;;;;;;1,28;77,34
2025-05-12 09:16;2025-05-12 11:16;T+00:50;58,6145267876981;-26,7765965558074;184;47;HDG;45;140;10,31;230;11,48;8,76;5792,09;Jib;;;;;;;;1,29;78,63
2025-05-12 09:26;2025-05-12 11:26;T+01:00;58,5862124865149;-26,7803965702113;182;47;HDG;45;140;10,24;229;11,44;10,46;5790,51;Jib;;;;;;;;1,29;79,92
2025-05-12 09:36;2025-05-12 11:36;T+01:10;58,5578781402496;-26,7822940434406;182;46;HDG;45;140;10,14;227;11,40;12,15;5788,96;Jib;;;;;;;;1,29;81,21
2025-05-12 09:46;2025-05-12 11:46;T+01:20;58,5299227269793;-26,7841646374956;179;47;HDG;45;140;10,24;226;11,38;13,82;5787,42;Jib;;;;;;;;1,30;82,51
2025-05-12 09:56;2025-05-12 11:56;T+01:30;58,5015754288131;-26,7832172065356;179;46;HDG;45;140;10,14;224;11,35;15,51;5785,90;Jib;;;;;;;;1,30;83,81
2025-05-12 10:06;2025-05-12 12:06;T+01:40;58,4737042971389;-26,7822864341256;176;48;HDG;45;140;10,33;223;11,35;17,18;5784,41;Jib;;;;;;;;1,30;85,10
2025-05-12 10:16;2025-05-12 12:16;T+01:50;58,4452866523754;-26,7784877426278;176;46;HDG;45;140;10,14;222;11,36;18,87;5782,93;Jib;;;;;;;;1,30;86,40
