DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-05-12 08:23;2025-05-12 10:23;T+00:00;-6,64833354949951;-109,0625;209;-75;HDG;52;135;26,97;133;15,29;0,00;2721,92;Code 0;;;;;;;;0,98;100,00
2025-05-12 08:33;2025-05-12 10:33;T+00:10;-6,71382513124281;-109,099051061933;208;-74;HDG;52;135;26,50;134;15,24;4,49;2718,30;Code 0;;;;;;;;0,98;100,00
2025-05-12 08:43;2025-05-12 10:43;T+00:20;-6,77884848500574;-109,133865902901;208;-74;HDG;52;135;26,64;134;15,27;8,90;2714,70;Code 0;;;;;;;;0,98;100,00
2025-05-12 08:53;2025-05-12 10:53;T+00:30;-6,84422364524406;-109,16887384827;207;-73;HDG;52;135;26,45;133;15,36;13,33;2711,08;Code 0;;;;;;;;0,98;100,00
2025-05-12 09:03;2025-05-12 11:03;T+00:40;-6,90981715657062;-109,202537853557;206;-73;HDG;51;135;26,59;133;15,47;17,74;2707,44;Code 0;;;;;;;;0,97;100,00
2025-05-12 09:13;2025-05-12 11:13;T+00:50;-6,97636087968851;-109,235233399617;205;-72;HDG;51;135;26,40;133;15,62;22,18;2703,74;Code 0;;;;;;;;0,96;100,00
2025-05-12 09:23;2025-05-12 11:23;T+01:00;-7,04329246541724;-109,266679388626;205;-71;HDG;51;135;26,48;133;15,88;26,60;2700,00;Code 0;;;;;;;;0,94;100,00
2025-05-12 09:33;2025-05-12 11:33;T+01:10;-7,11038831980719;-109,298207113966;205;-71;HDG;51;135;26,74;134;16,12;31,03;2696,26;Code 0;;;;;;;;0,93;100,00
2025-05-12 09:43;2025-05-12 11:43;T+01:20;-7,17738429810288;-109,329692506134;205;-70;HDG;51;135;26,65;135;16,30;35,46;2692,53;Code 0;;;;;;;;0,92;100,00
2025-05-12 09:53;2025-05-12 11:53;T+01:30;-7,24468280006188;-109,361324744371;206;-71;HDG;51;135;27,12;135;16,43;39,90;2688,78;Code 0;;;;;;;;0,91;100,00
2025-05-12 10:03;2025-05-12 12:03;T+01:40;-7,3122613056099;-109,394552994467;205;-70;HDG;51;135;26,65;134;16,28;44,41;2685,03;Code 0;;;;;;;;0,92;100,00
