DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-05-12 10:34;2025-05-12 12:34;T+00:00;34,0588874816894;139,144165039062;211;50;HDG;50;145;8,95;260;17,21;0,00;207,67;Genois leger;;524;0,5;;;1,94;28,33;0,87;0,87
2025-05-12 10:44;2025-05-12 12:44;T+00:10;34,0468861275795;139,135461540893;212;49;HDG;50;145;8,71;261;17,24;0,84;207,30;Genois leger;;;;;;;;0,87;1,74
2025-05-12 10:54;2025-05-12 12:54;T+00:20;34,0259266056347;139,119657292067;213;49;HDG;50;145;8,70;262;17,25;2,32;206,63;Genois leger;;;;;;;;0,87;2,61
2025-05-12 11:04;2025-05-12 13:04;T+00:30;34,0052740294707;139,103476925448;214;49;HDG;50;145;8,70;263;17,27;3,79;205,95;Genois leger;;;;;;;;0,87;3,48
2025-05-12 11:14;2025-05-12 13:14;T+00:40;33,9849697510091;139,086958561645;215;49;HDG;50;145;8,70;264;17,28;5,26;205,26;Genois leger;;;;;;;;0,87;4,35
2025-05-12 11:24;2025-05-12 13:24;T+00:50;33,9647978119404;139,069926667215;216;49;HDG;50;145;8,70;265;17,32;6,74;204,55;Genois leger;;;;;;;;0,87;5,22
2025-05-12 11:34;2025-05-12 13:34;T+01:00;33,9448302600884;139,052437390929;217;49;HDG;50;145;8,68;266;17,38;8,21;203,82;Genois leger;;;;;;;;0,86;6,09
2025-05-12 11:44;2025-05-12 13:44;T+01:10;33,9250811442735;139,034500521655;218;50;HDG;50;145;8,92;267;17,47;9,69;203,08;Genois leger;;;;;;;;0,86;6,95
2025-05-12 11:54;2025-05-12 13:54;T+01:20;33,9055637747392;139,016126022226;218;50;HDG;50;145;8,91;268;17,57;11,17;202,32;Genois leger;;;;;;;;0,86;7,80
2025-05-12 12:04;2025-05-12 14:04;T+01:30;33,8858231035449;138,997545578853;221;49;HDG;50;145;8,66;269;17,63;12,67;201,56;Genois leger;;;;;;;;0,85;8,66
2025-05-12 12:14;2025-05-12 14:14;T+01:40;33,8674106174458;138,978267551014;222;50;HDG;50;145;8,90;271;17,66;14,13;200,76;Genois leger;;;;;;;;0,85;9,51
2025-05-12 12:24;2025-05-12 14:24;T+01:50;33,848943572709;138,958244607915;224;50;HDG;50;145;8,90;273;17,71;15,61;199,94;Genois leger;;;;;;;;0,85;10,36
2025-05-12 12:34;2025-05-12 14:34;T+02:00;33,8310971247336;138,937495973407;225;50;HDG;50;145;8,89;275;17,77;17,08;199,08;Genois leger;;;;;;;;0,85;11,21
2025-05-12 12:44;2025-05-12 14:44;T+02:10;33,8134296402831;138,916230019384;227;50;HDG;50;145;8,89;276;17,83;18,56;198,20;Genois leger;;;;;;;;0,84;12,05
2025-05-12 12:54;2025-05-12 14:54;T+02:20;33,7965173766939;138,894404327644;229;49;HDG;50;145;8,63;278;17,90;20,03;197,29;Genois leger;;;;;;;;0,84;12,89
2025-05-12 13:04;2025-05-12 15:04;T+02:30;33,7803666779012;138,872049760416;230;50;HDG;50;145;8,87;279;17,97;21,48;196,35;Genois leger;;;;;;;;0,84;13,73
2025-05-12 13:14;2025-05-12 15:14;T+02:40;33,7644308568719;138,849203383898;231;50;HDG;50;145;8,87;281;18,04;22,94;195,40;Genois leger;;;;;;;;0,84;14,57
2025-05-12 13:24;2025-05-12 15:24;T+02:50;33,748725530844;138,825876660348;234;49;HDG;50;145;8,61;283;18,09;24,41;194,42;Genois leger;;;;;;;;0,83;15,40
2025-05-12 13:34;2025-05-12 15:34;T+03:00;33,7343735503996;138,802121923795;235;50;HDG;50;145;8,87;284;18,05;25,83;193,42;Genois leger;;;;;;;;0,84;16,24
2025-05-12 13:44;2025-05-12 15:44;T+03:10;33,7201535420902;138,777704503023;237;50;HDG;50;145;8,87;286;18,01;27,28;192,38;Genois leger;;;;;;;;0,84;17,08
2025-05-12 13:54;2025-05-12 15:54;T+03:20;33,7066509212781;138,752709295417;239;50;HDG;50;145;8,87;288;17,99;28,71;191,32;Genois leger;;;;;;;;0,84;17,91
2025-05-12 14:04;2025-05-12 16:04;T+03:30;33,6938567370124;138,727115908977;241;50;HDG;50;145;8,88;290;17,89;30,14;190,22;Genois leger;;;;;;;;0,84;18,76
2025-05-12 14:14;2025-05-12 16:14;T+03:40;33,6817808819891;138,700934609613;241;52;HDG;50;145;9,13;292;17,79;31,57;189,09;Genois leger;;;;;;;;0,85;19,60
2025-05-12 14:24;2025-05-12 16:24;T+03:50;33,6693966848862;138,674088641197;240;55;HDG;50;145;9,43;294;17,71;33,03;187,93;Genois leger;;;;;;;;0,85;20,45
2025-05-12 14:34;2025-05-12 16:34;T+04:00;33,656198492188;138,646624014887;244;53;HDG;50;145;9,25;296;17,64;34,56;186,77;Genois leger;;;;;;;;0,85;21,31
2025-05-12 14:44;2025-05-12 16:44;T+04:10;33,6448587387899;138,618694913148;246;53;HDG;50;145;9,25;298;17,60;36,04;185,55;Genois leger;;;;;;;;0,85;22,16
2025-05-12 14:54;2025-05-12 16:54;T+04:20;33,6343594857664;138,590370937963;245;56;HDG;50;145;9,55;300;17,58;37,50;184,32;Genois leger;;;;;;;;0,86;23,02
2025-05-12 15:04;2025-05-12 17:04;T+04:30;33,6230986827439;138,561369400608;248;54;HDG;50;145;9,37;302;17,43;39,02;183,06;Genois leger;;;;;;;;0,86;23,88
2025-05-12 15:14;2025-05-12 17:14;T+04:40;33,6132793532386;138,532185615306;250;53;HDG;50;145;9,32;302;17,10;40,50;181,78;Genois leger;;;;;;;;0,88;24,76
2025-05-12 15:24;2025-05-12 17:24;T+04:50;33,6044059803857;138,502914205394;250;53;HDG;50;145;9,36;303;16,80;41,95;180,49;Genois leger;;;;;;;;0,89;25,65
2025-05-12 15:34;2025-05-12 17:34;T+05:00;33,5954764722955;138,473460665356;250;53;HDG;50;144;9,42;303;16,39;43,42;179,20;Genois leger;;;;;;;;0,91;26,57
2025-05-12 15:44;2025-05-12 17:44;T+05:10;33,586487303131;138,443813423964;250;53;HDG;50;142;9,45;303;15,95;44,90;177,89;Genois leger;;;;;;;;0,94;27,51
2025-05-12 15:54;2025-05-12 17:54;T+05:20;33,5774741650269;138,414090234392;249;55;HDG;50;142;9,53;303;15,49;46,39;176,59;Genois leger;;;;;;;;0,97;28,47
2025-05-12 16:04;2025-05-12 18:04;T+05:30;33,5680396147554;138,384592848844;249;55;HDG;50;142;9,40;303;15,02;47,90;175,31;Genois leger;;;;;;;;1,00;29,47
2025-05-12 16:14;2025-05-12 18:14;T+05:40;33,5587304524179;138,355490634992;246;58;HDG;51;142;9,56;304;14,53;49,39;174,06;Genois leger;;;;;;;;1,03;30,51
2025-05-12 16:24;2025-05-12 18:24;T+05:50;33,5479573490784;138,326456967079;247;58;HDG;53;142;9,47;304;14,00;50,93;172,83;Genois leger;;;;;;;;1,07;31,58
2025-05-12 16:34;2025-05-12 18:34;T+06:00;33,5377292596852;138,297547934557;249;56;HDG;54;141;9,14;305;13,47;52,45;171,61;Genois leger;;;;;;;;1,11;32,69
2025-05-12 16:44;2025-05-12 18:44;T+06:10;33,5286284813174;138,269107085905;247;59;HDG;54;141;9,37;305;12,93;53,92;170,39;Genois leger;;;;;;;;1,16;33,85
2025-05-12 16:54;2025-05-12 18:54;T+06:20;33,5184705098545;138,240402635611;248;59;HDG;54;141;9,29;306;12,38;55,43;169,19;Genois leger;;;;;;;;1,21;35,06
2025-05-12 17:04;2025-05-12 19:04;T+06:30;33,5088490436911;138,21184148384;247;60;HDG;54;141;9,33;307;11,90;56,93;167,98;Genois leger;;;;;;;;1,25;36,31
2025-05-12 17:14;2025-05-12 19:14;T+06:40;33,4986967452491;138,183159619816;250;58;HDG;54;140;9,00;308;11,44;58,45;166,79;Genois leger;;;;;;;;1,29;37,60
2025-05-12 17:24;2025-05-12 19:24;T+06:50;33,4900948036323;138,154821127803;249;60;HDG;54;140;9,17;308;11,03;59,90;165,59;Genois leger;;;;;;;;1,33;38,92
2025-05-12 17:34;2025-05-12 19:34;T+07:00;33,4809755571632;138,126338251033;247;63;HDG;54;140;9,30;309;10,65;61,38;164,40;Genois leger;;;;;;;;1,36;40,29
2025-05-12 17:44;2025-05-12 19:44;T+07:10;33,4709201813268;138,097939324185;252;59;HDG;54;139;8,95;310;10,30;62,89;163,23;Genois leger;;;;;;;;1,40;41,68
2025-05-12 17:54;2025-05-12 19:54;T+07:20;33,4632303709332;138,069570129482;253;59;HDG;54;137;8,90;312;10,02;64,33;162,03;Genois leger;;;;;;;;1,42;43,10
2025-05-12 18:04;2025-05-12 20:04;T+07:30;33,4559914561946;138,041190715689;253;61;HDG;54;137;8,92;313;9,82;65,75;160,82;Genois leger;;;;;;;;1,44;44,54
2025-05-12 18:14;2025-05-12 20:14;T+07:40;33,4487554291774;138,012824989716;254;61;HDG;54;137;8,86;315;9,70;67,17;159,62;Genois leger;;;;;;;;1,45;45,99
2025-05-12 18:24;2025-05-12 20:24;T+07:50;33,4419409655606;137,984345542468;254;63;HDG;54;137;8,95;316;9,65;68,58;158,41;Genois leger;;;;;;;;1,45;47,45
2025-05-12 18:34;2025-05-12 20:34;T+08:00;33,4350720061833;137,955640617923;255;63;HDG;54;137;8,95;318;9,65;70,01;157,19;Genois leger;;;;;;;;1,45;48,90
2025-05-12 18:44;2025-05-12 20:44;T+08:10;33,4285982604631;137,926691845708;255;65;HDG;54;137;9,05;320;9,66;71,44;155,96;Genois leger;;;;;;;;1,45;50,36
