DateHeure(UTC);DateHeure;TTW;Latitude;Longitude;HDG;TWA;MODE;BestUpVMG;BestDwnVMG;Speed(kt);TWD;TWS(kt);DTG(nm);DTF(nm);Voile;EffetBoost;DureeChangementVoile;RatioChangementVoile;DureeChangementAmure;RatioChangementAmure;CoeffDuree;PerteEnergie;GainEnergie;EnergieFinIteration
2025-05-12 08:21;2025-05-12 10:21;T+00:00;21,781665802002;-50,5136108398438;235;-145;HDG;45;149;8,74;90;15,34;0,00;733,14;Spi;;;;;;;;0,98;100,00
2025-05-12 08:31;2025-05-12 10:31;T+00:10;21,7675823497722;-50,5352690583294;236;-145;HDG;45;149;8,80;91;15,41;1,47;731,75;Spi;;;;;;;;0,97;100,00
2025-05-12 08:41;2025-05-12 10:41;T+00:20;21,7538469608374;-50,5571946669677;236;-144;HDG;45;149;8,94;91;15,50;2,94;730,34;Spi;;;;;;;;0,97;100,00
2025-05-12 08:51;2025-05-12 10:51;T+00:30;21,7399372649256;-50,5793963785365;236;-144;HDG;45;149;9,00;92;15,59;4,43;728,92;Spi;;;;;;;;0,96;100,00
2025-05-12 09:01;2025-05-12 11:01;T+00:40;21,7259534647327;-50,6017142026317;237;-145;HDG;45;149;8,96;92;15,66;5,93;727,50;Spi;;;;;;;;0,96;100,00
2025-05-12 09:11;2025-05-12 11:11;T+00:50;21,7123920408323;-50,6241923373162;236;-144;HDG;45;149;9,05;91;15,68;7,42;726,07;Spi;;;;;;;;0,96;100,00
2025-05-12 09:21;2025-05-12 11:21;T+01:00;21,6983444668349;-50,6466076440964;235;-143;HDG;45;149;9,14;91;15,67;8,93;724,64;Spi;;;;;;;;0,96;100,00
2025-05-12 09:31;2025-05-12 11:31;T+01:10;21,6839250289121;-50,6687696759746;235;-144;HDG;45;149;9,00;91;15,64;10,43;723,21;Spi;;;;;;;;0,96;100,00
2025-05-12 09:41;2025-05-12 11:41;T+01:20;21,6695903814616;-50,6907991925225;235;-144;HDG;45;149;9,00;91;15,60;11,93;721,79;Spi;;;;;;;;0,96;100,00
2025-05-12 09:51;2025-05-12 11:51;T+01:30;21,6552557341171;-50,7128265193521;233;-142;HDG;45;149;9,12;91;15,54;13,43;720,38;Spi;;;;;;;;0,96;100,00
2025-05-12 10:01;2025-05-12 12:01;T+01:40;21,6400109010337;-50,7345918633843;234;-143;HDG;45;149;9,03;91;15,48;14,94;718,96;Spi;;;;;;;;0,97;100,00
