Date,Heure,HDG,Voile
2025-05-12,18:32,215,Code 0
2025-05-12,18:42,215,Code 0
2025-05-12,18:52,217,Code 0
2025-05-12,19:02,216,Code 0
2025-05-12,19:12,217,Code 0
2025-05-12,19:22,218,Code 0
2025-05-12,19:32,216,Code 0
2025-05-12,19:42,219,Code 0
2025-05-12,19:52,217,Code 0
2025-05-12,20:02,215,Code 0
2025-05-12,20:12,215,Code 0
2025-05-12,20:22,219,Code 0
2025-05-12,20:32,219,Code 0
2025-05-12,20:42,219,Code 0
2025-05-12,20:52,220,Code 0
2025-05-12,21:02,218,Code 0
2025-05-12,21:12,217,Code 0
2025-05-12,21:22,221,Code 0
2025-05-12,21:32,220,Code 0
2025-05-12,21:42,218,Code 0
2025-05-12,21:52,219,Code 0
2025-05-12,22:02,217,Code 0
2025-05-12,22:12,217,Code 0
2025-05-12,22:22,219,Code 0
2025-05-12,22:32,221,Code 0
2025-05-12,22:42,221,Code 0
2025-05-12,22:52,224,Code 0
2025-05-12,23:02,224,Code 0
2025-05-12,23:12,228,Code 0
2025-05-12,23:22,230,Code 0
2025-05-12,23:32,232,Code 0
2025-05-12,23:42,233,Code 0
2025-05-12,23:52,233,Code 0
2025-05-13,00:02,235,Code 0
2025-05-13,00:12,238,Code 0
2025-05-13,00:22,242,Code 0
2025-05-13,00:32,250,Code 0
2025-05-13,00:42,259,Code 0
2025-05-13,00:52,247,Code 0
2025-05-13,01:02,238,Code 0
2025-05-13,01:12,253,Code 0
2025-05-13,01:22,245,Code 0
2025-05-13,01:32,251,Code 0
2025-05-13,01:42,271,Code 0
2025-05-13,01:52,284,Code 0
2025-05-13,02:02,195,Code 0
2025-05-13,02:12,210,Code 0
2025-05-13,02:22,219,Code 0
2025-05-13,02:32,223,Code 0
2025-05-13,02:42,231,Code 0
2025-05-13,02:52,250,Code 0
2025-05-13,03:02,247,Code 0
2025-05-13,03:12,243,Code 0
2025-05-13,03:22,242,Code 0
2025-05-13,03:32,241,Code 0
2025-05-13,03:42,240,Code 0
2025-05-13,03:52,230,Code 0
2025-05-13,04:02,230,Code 0
2025-05-13,04:12,223,Code 0
2025-05-13,04:22,228,Code 0
2025-05-13,04:32,221,Code 0
2025-05-13,04:42,222,Code 0
2025-05-13,04:52,229,Code 0
2025-05-13,05:02,232,Code 0
2025-05-13,05:12,232,Code 0
2025-05-13,05:22,224,Code 0
2025-05-13,05:32,228,Code 0
2025-05-13,05:42,219,Code 0
2025-05-13,05:52,220,Code 0
2025-05-13,06:02,219,Code 0
2025-05-13,06:12,219,Code 0
2025-05-13,06:22,220,Code 0
2025-05-13,06:32,226,Code 0
2025-05-13,07:32,232,Code 0
2025-05-13,08:32,228,Code 0
2025-05-13,09:32,216,Code 0
2025-05-13,10:32,216,Code 0
2025-05-13,11:32,216,Code 0
2025-05-13,12:32,216,Code 0
2025-05-13,13:32,207,Jib
2025-05-13,14:32,199,Jib
2025-05-13,15:32,199,Jib
2025-05-13,16:32,195,Jib
2025-05-13,17:32,195,Jib
2025-05-13,18:32,195,Jib
2025-05-13,19:32,195,Jib
2025-05-13,20:32,191,Jib
2025-05-13,21:32,187,Jib
2025-05-13,22:32,191,Jib
2025-05-13,23:32,191,Code 0
2025-05-14,00:32,199,Code 0
2025-05-14,01:32,207,Code 0
2025-05-14,02:32,190,Code 0
2025-05-14,03:32,194,Code 0
2025-05-14,04:32,198,Code 0
2025-05-14,05:32,202,Code 0
2025-05-14,06:32,194,Spi
2025-05-14,07:32,190,Spi
2025-05-14,08:32,182,Spi
2025-05-14,09:32,186,Spi
2025-05-14,10:32,182,Spi
2025-05-14,11:32,122,Spi
2025-05-14,12:32,126,Spi
2025-05-14,13:32,186,Spi
2025-05-14,14:32,186,Spi
2025-05-14,15:32,190,Spi
2025-05-14,16:32,190,Spi
2025-05-14,17:32,190,Spi
2025-05-14,18:32,190,Spi
2025-05-14,19:32,198,Spi
2025-05-14,20:32,122,Spi
2025-05-14,21:32,178,Spi
2025-05-14,22:32,182,Spi
2025-05-14,23:32,186,Spi
2025-05-15,00:32,181,Spi
2025-05-15,01:32,189,Spi
2025-05-15,02:32,185,Spi
2025-05-15,03:32,189,Spi
2025-05-15,04:32,189,Spi
2025-05-15,05:32,197,Spi
2025-05-15,06:32,205,Spi
2025-05-15,07:32,209,Spi
2025-05-15,08:32,217,Spi
